戴昊,23,控球后卫,中国,2002-01-16,195,84,上海久事大鲨鱼俱乐部久事篮球队
董灏,23,小前锋/大前锋,中国,2002-03-11,197,97,上海久事大鲨鱼俱乐部久事篮球队
李弘权,23,小前锋/大前锋,中国,2001-09-29,198,104,上海久事大鲨鱼俱乐部久事篮球队
李添荣,25,控球后卫/得分后卫,中国,2000-01-26,191,89,上海久事大鲨鱼俱乐部久事篮球队
刘礼嘉,20,大前锋/小前锋,中国,2004-08-17,206,103,上海久事大鲨鱼俱乐部久事篮球队
刘铮,34,得分后卫/小前锋,中国台湾,1990-11-24,195,87,上海久事大鲨鱼俱乐部久事篮球队
刘梓鹏,20,得分后卫,中国,2004-11-25,190,90,上海久事大鲨鱼俱乐部久事篮球队
刘正清,23,得分后卫/小前锋,中国,2002-03-15,195,92,上海久事大鲨鱼俱乐部久事篮球队
罗汉琛,30,控球后卫/得分后卫,中国,1994-08-23,184,80,上海久事大鲨鱼俱乐部久事篮球队
万孟霖,20,得分后卫/小前锋,中国,2004-10-15,191,86,上海久事大鲨鱼俱乐部久事篮球队
王哲林,31,中锋,中国,1994-01-20,215,123,上海久事大鲨鱼俱乐部久事篮球队
偰李永炜,20,控球后卫/得分后卫,中国,2004-07-21,196,86,上海久事大鲨鱼俱乐部久事篮球队
闫鹏飞,31,中锋,中国,1993-06-21,212,118,上海久事大鲨鱼俱乐部久事篮球队
袁堂文,25,控球后卫,中国,2000-01-09,184,80,上海久事大鲨鱼俱乐部久事篮球队
赵森,20,大前锋/小前锋,中国,2004-10-28,201,101,上海久事大鲨鱼俱乐部久事篮球队
威尔逊,29,大前锋,美国,1996-02-19,208,104,上海久事大鲨鱼俱乐部久事篮球队
洛夫顿,22,大前锋,美国,2002-08-14,198,125,上海久事大鲨鱼俱乐部久事篮球队
马典成,22,大前锋,中国,2003-05-03,203,97,上海久事大鲨鱼俱乐部久事篮球队
梅肯,29,控球后卫/得分后卫,美国,1995-11-29,190,88,上海久事大鲨鱼俱乐部久事篮球队
哈维,31,控球后卫/得分后卫,美国,1993-07-17,193,84,上海久事大鲨鱼俱乐部久事篮球队
