基金简称,基金公司,时间,所在省份
河床融易,深圳河床投资,2020-02-11T16:00:00.000Z,广东
安贤中证500指数增强2号B类份额,安贤投资,2020-05-26T16:00:00.000Z,北京
富华豚泉进取,北京富华资信私募,2024-01-29T16:00:00.000Z,北京
钧富中证500指数增强6号,钧富投资,2020-10-18T16:00:00.000Z,浙江
龙航十九期,龙航资产,2020-09-01T16:00:00.000Z,浙江
中盈蓝景9号,中盈蓝景,2024-01-25T16:00:00.000Z,广东
永禧永秋,永禧投资,2019-04-14T16:00:00.000Z,浙江
量魁中证1000指数增强一号A类份额,量魁私募,2023-04-23T16:00:00.000Z,上海
盖亚青柯A500指数增强1号A类份额,海南盖亚青柯私募,2025-05-06T16:00:00.000Z,海南
泰聚成长二期,深圳泰聚,2022-04-10T16:00:00.000Z,广东
融政创沅1号,融政创沅投资,2023-04-20T16:00:00.000Z,广东
中闽汇金量化2号,中闽汇金,2020-06-30T16:00:00.000Z,福建
明策沙逊一号,明策资产,2022-09-08T16:00:00.000Z,浙江
中汇富乐源3号,中汇(北京)私募,2019-11-25T16:00:00.000Z,北京
系综复合策略2号C类份额,系综私募,2021-12-21T16:00:00.000Z,上海
蓝宝石量化一期,蓝宝石基金,2020-06-29T16:00:00.000Z,广东
悬铃尊享CTA1号B类份额,上海悬铃私募,2022-12-25T16:00:00.000Z,上海
潘朵拉芯陌,潘朵拉投资,2024-10-28T16:00:00.000Z,浙江
深绎藏锋1号,深绎基金,2022-08-28T16:00:00.000Z,海南
中安汇富莲花山进取11号,中安汇富,2019-03-10T16:00:00.000Z,广东
华信资产价值八期,华信金工(北京),2017-03-02T16:00:00.000Z,北京
景行振兴泰牛1号,泰牛私募,2023-08-31T16:00:00.000Z,福建
巴克夏周周利3号,巴克夏投资,2018-03-07T16:00:00.000Z,浙江
润泉敬地1号,久阳润泉,2025-02-23T16:00:00.000Z,北京
彬元润铭C类份额,彬元资本,2025-04-09T16:00:00.000Z,上海
洛书裕和延平B类份额,洛书投资,2020-04-26T16:00:00.000Z,上海
嘉枫稳健成长1期,嘉枫资本,2020-03-18T16:00:00.000Z,广东
御澜泰晤士1号,御澜资产,2018-02-06T16:00:00.000Z,广东
照友壬寅1号,照友投资,2022-01-16T16:00:00.000Z,上海
凡旭维纳斯9号对冲套利A类份额,凡旭资产,2024-01-29T16:00:00.000Z,广东
益和源原则本初,益和源资产,2022-01-17T16:00:00.000Z,上海
博润稳健成长1号,博润银泰投资,2022-10-26T16:00:00.000Z,北京
华莎泉明月一号,华莎泉投资,2015-11-23T16:00:00.000Z,广东
洛书裕和延庆,洛书投资,2020-10-27T16:00:00.000Z,上海
博润银泰多策略1号,博润银泰投资,2017-05-23T16:00:00.000Z,北京
念空指增进取Plus2号A类份额,念空私募,2025-04-02T16:00:00.000Z,上海
六妙星兰亭序A类份额,六妙星(北京)私募,2023-02-23T16:00:00.000Z,北京
龙航九期,龙航资产,2020-09-07T16:00:00.000Z,浙江
证道交易风云录1号,厦门证道私募,2023-04-18T16:00:00.000Z,福建
蒙玺中证1000指数量化5号A类份额,蒙玺投资,2023-05-03T16:00:00.000Z,上海
善思乾能捌号,善思投资,2020-07-16T16:00:00.000Z,江西
胜拓,广州胜拓私募,2021-08-29T16:00:00.000Z,广东
东方创新1号A类份额,东方创新(上海)投资,2023-02-08T16:00:00.000Z,上海
洛书瑞盈建兴,洛书投资,2019-09-18T16:00:00.000Z,上海
铠润致盈,铠润私募,2024-06-19T16:00:00.000Z,北京
钧富中证500指数增强5号,钧富投资,2021-01-04T16:00:00.000Z,浙江
多鑫五地优质企业2号,上海五地私募,2020-09-09T16:00:00.000Z,上海
远信策略优选A类份额,远信投资,2022-03-02T16:00:00.000Z,广东
龙吟1期,龙吟虎啸,2023-08-08T16:00:00.000Z,海南
金仕达产业精选1号,金仕达投资,2023-12-17T16:00:00.000Z,山东
